"","gs_name","gs_id","gs_cat","gs_subcat","human_gene_symbol","species_name","entrez_gene","gene_symbol","sources"
"74","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM3","Homo sapiens",4172,"MCM3",NA
"75","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM4","Homo sapiens",4173,"MCM4",NA
"76","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM5","Homo sapiens",4174,"MCM5",NA
"77","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM6","Homo sapiens",4175,"MCM6",NA
"78","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MCM7","Homo sapiens",4176,"MCM7",NA
"79","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MDM2","Homo sapiens",4193,"MDM2",NA
"80","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","MYC","Homo sapiens",4609,"MYC",NA
"81","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC1","Homo sapiens",4998,"ORC1",NA
"82","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC2","Homo sapiens",4999,"ORC2",NA
"83","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC3","Homo sapiens",23595,"ORC3",NA
"84","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC4","Homo sapiens",5000,"ORC4",NA
"85","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC5","Homo sapiens",5001,"ORC5",NA
"86","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","ORC6","Homo sapiens",23594,"ORC6",NA
"87","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PCNA","Homo sapiens",5111,"PCNA",NA
"88","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PKMYT1","Homo sapiens",9088,"PKMYT1",NA
"89","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PLK1","Homo sapiens",5347,"PLK1",NA
"90","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PRKDC","Homo sapiens",5591,"PRKDC",NA
"91","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PTTG1","Homo sapiens",9232,"PTTG1",NA
"92","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","PTTG2","Homo sapiens",10744,"PTTG2",NA
"93","KEGG_CELL_CYCLE","M7963","C2","CP:KEGG","RAD21","Homo sapiens",5885,"RAD21",NA
